,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
474,9.080912700697163e-05,-3.754399996169777e-07,0,-1,IPPS,True
475,-5.886205398311639e-05,4.0678343264655137e-07,0,-1,LAAL12,False
476,-4.789977221877906e-05,3.083796644570702e-07,0,-1,MOHMT,False
477,-2.072230946668918e-05,3.5797866278219903e-07,0,-1,FMETTRS_1,False
478,2.236641100120118e-06,-1.923716187679503e-06,0,-1,FTHFD,False
479,6.06498811088485e-06,-5.071822560542838e-08,0,-1,PRMICI,True
480,-0.00010894826391780188,-8.646363364173126e-08,0,-1,ACKr,False
481,2.6677192326990395e-06,-8.346584373652988e-07,0,-1,AGDC,False
482,-0.00010212258513567218,-7.536481197445433e-08,0,-1,AHSERL3,False
483,-7.66156025348852e-05,-1.1836854258567842e-06,0,-1,APSR,True
484,-1.5438320182248333e-06,-2.766802684475711e-06,0,-1,FDMO_1,False
485,1.6517266571161593e-05,-4.426149119204914e-06,0,-1,FDMO2_1,False
486,-1.9742495292185414e-06,-0.06997862948526824,0,-1,FDMO3_1,False
487,-4.317386168975479e-06,-0.06997862948526698,0,-1,FDMO4_1,False
488,4.6134208516041e-06,-5.805758165958186e-06,0,-1,FDMO5_1,False
489,-6.251669794343773e-07,-0.0025399916222090257,0,-1,FDMO6_1,False
490,-2.622686688791287e-05,-0.0003326569715541988,0,-1,HEMECS,False
491,-9.772544145272843e-05,-2.290439481827944e-07,0,0,LAAL9,False
492,-7.560203616963079e-05,-1.1104875704409656e-06,0,-1,PAPSR,False
493,-0.00010056828903366732,-2.3778532289020493e-07,0,-1,SHSL1,False
494,-6.967838616181443e-05,-1.8954830052764216e-08,0,-1,SLCYSS,False
495,-0.00013099258943349845,-0.0001328052763396037,0,-1,SULR_1,True
496,-6.7696726680333e-05,1.3413698676800756e-07,0,0,LAAL1,False
497,-0.00011649910825158039,-2.855942163315639e-09,0,-1,LAAL3,False
498,-6.938012017657091e-05,6.351888072464451e-08,0,0,LAAL4,False
499,-4.83590567215697e-07,3.6500086109114704e-07,0,-1,HCO3E,True
500,7.860186732600027e-06,6.88346461899525e-07,0,-1,ALCD19y,False
501,1.2085186502031053e-05,8.32948440082637e-07,0,-1,ALCD19_L,False
502,0.000988307442081865,-9.469247642390766e-07,0,-1,MEPCT,True
503,8.142753712150896e-06,-2.437663262813694e-06,0,-1,BTS_1,False
504,1.1595431777811083e-06,5.465463494835898e-07,0,-1,LDH2,False
505,-2.2926321903010694e-06,-4.499670179000659e-06,0,-1,DAPE,True
506,1.2801417516306035e-07,1.1641678061696803e-06,0,-1,LYSDC,False
507,3.9309002465570675e-07,-7.01827031629465e-07,0,-1,FORAMD,False
508,6.7555535818858425e-06,3.8206666738704875e-07,0,-1,IZPN_1,False
509,9.702488226116801e-05,-0.06997862948527973,0,-1,GALKr,False
510,-0.0001251166111045643,7.838490469619375e-07,0,-1,G1PPDM,False
511,5.634150374871083e-05,-0.06997862948526622,0,-1,GLCP,False
512,-1.0512748393004534e-05,7.914381989493346e-07,0,-1,GLGC,False
513,4.006540844925244e-06,7.181795246419265e-07,0,-1,PGMT,True
514,-6.44954865560432e-05,2.61986140906445e-07,0,-1,PGAMT,True
515,-5.2092721040536416e-05,4.805419117070997e-07,0,-1,LAAL41,False
516,-5.116380288157363e-05,4.922110588834183e-07,0,-1,LAAL8,False
517,-5.67544145017862e-06,-1.3304645445078034e-07,0,-1,MTHFD,True
518,0.00016234291490399566,5.376219107539049e-07,0,-1,ACCOAC,True
519,0.0011185809741562358,3.450691300338482e-07,0,-1,DPCOAK,False
520,-0.00012034680531555764,-1.5291402101769158e-06,0,-1,G3POA_BS,True
521,0.0009421517397092544,2.598646655638248e-07,0,-1,HIBHr,False
522,-3.9676599588617245e-05,5.342538176300593e-07,0,-1,KAS1,True
523,-0.00011828489018553268,5.342538176300593e-07,0,-1,KAS10,False
524,-3.0365723853870152e-06,5.342538176300593e-07,0,-1,KAS11,True
525,-0.00011828489018486654,5.342538176300593e-07,0,-1,KAS12,True
526,0.00011546678790301523,5.342095239085909e-07,0,-1,KAS13,True
527,0.00011546678790336218,5.342095239085909e-07,0,-1,KAS17,False
528,0.00011546678790516629,5.342095239085909e-07,0,-1,KAS2,False
529,-3.03657238585886e-06,5.342538161590138e-07,0,-1,KAS3,True
