,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
823,1.2853311848193272e-06,5.299031778274732e-05,0,-1,OBDHm,False
824,1.029138887144454e-06,5.2235766755524826e-05,0,-1,PDHm,False
825,-3.360314225972494e-07,5.397758492233645e-05,0,-8,EHGLATm,False
826,9.062762453618256e-07,5.349245366801508e-05,0,-1,GLYCLm,False
827,-3.6497295270027097e-07,5.286565263380727e-05,0,-1,ICDHxm,False
828,5.650814994262454e-07,5.3391435478507276e-05,0,-1,ME1m,False
829,1.319250714018616e-06,5.347383796981686e-05,0,-8,MTHFDm,False
830,1.9615585541629676e-06,5.4612652440798326e-05,0,-1,ACONTm,False
831,-2.2690500491029386e-07,5.371629834120123e-05,0,-8,ASPTAm,False
832,-1.872549717438221e-07,5.377550995847025e-05,0,-8,PUNP1m,False
833,-1.872549723197503e-07,5.377550995847025e-05,0,-8,PUNP3m,False
834,-1.4663245467838593e-07,5.2079969911293655e-05,0,-8,ALATA_Lm,False
835,9.698562489571239e-07,5.3462446944214925e-05,0,-1,ME2m,False
836,-2.2694880230655912e-07,5.378863476716844e-05,0,-1,FTHFLmi,False
837,2.8645405451832584e-07,5.3827482515318714e-05,0,-1,GCC2bim,False
838,3.0110975795388795e-07,5.3884400959866574e-05,0,-1,GCCbim,False
839,-6.492587169282249e-08,5.3989015886164726e-05,0,-8,ACOTAim,True
840,-5.079826439768897e-07,5.2980320126079505e-05,0,-1,ICDHym,False
841,-2.586179340957617e-07,5.3871924488128886e-05,0,-8,ILETAm,False
842,-1.14547403280707e-06,5.386020035241107e-05,0,-8,LEUTAm,False
843,3.035133654058497e-07,5.407433944557005e-05,0,-8,TYRTAim,False
844,2.4793338867998282e-06,5.383445176745938e-05,0,-1,3HPH5MBDCm,False
845,-2.26096174699153e-08,5.4086463986073585e-05,0,-8,VALTAim,False
846,2.2013150803371073e-06,5.250466156496436e-05,0,-1,ACONT3m,False
847,5.786593641962656e-07,5.384792508857095e-05,0,-1,FTHFCLm,False
848,2.6036068478466068e-06,5.4440461373560234e-05,0,-1,THRD_Lm,False
849,3.5198844586942224e-07,5.380592961674174e-05,0,-8,GLUTRSm,False
850,-9.586497583952136e-08,5.429451433067861e-05,0,-1,ORNTACim,True
851,6.257609824547594e-07,5.394435080843807e-05,0,-8,ARGTRSm,False
852,6.257609809975917e-07,5.394435080843807e-05,0,-8,ASNTRSm,False
853,5.760703835067105e-07,5.3943037381869174e-05,0,-8,ASPTRSm,False
854,2.381821226332681e-06,5.44689078003438e-05,0,-8,FOLD3m,False
855,6.257609809837139e-07,5.394435083289073e-05,0,-8,HISTRSm,False
856,5.817312583936141e-07,5.3944273113344654e-05,0,-8,ILETRSm,False
857,5.612938443130822e-07,5.394424887290861e-05,0,-8,LEUTRSm,False
858,6.257609833082434e-07,5.394435079260351e-05,0,-8,LYSTRSm,False
859,3.9773227505923714e-07,5.387825833772647e-05,0,-8,METTRSm,False
860,6.257609829057875e-07,5.394435079958404e-05,0,-8,PHETRSm,False
861,2.7075170861631803e-06,5.492747663866926e-05,0,-8,PPTTm,False
862,6.257609810669806e-07,5.394435082663185e-05,0,-8,THRTRSm,False
863,6.257609850707224e-07,5.394435082663185e-05,0,-8,TRPTRSm,False
864,5.935161301734437e-07,5.39424008904818e-05,0,-8,TYRTRSm,False
865,6.257609824963928e-07,5.394435083314053e-05,0,-8,VALTRSm,False
866,4.7498688642455544e-05,5.391357787862955e-05,0,-1,ACGKm,True
867,-1.8777328787689118e-07,5.3737186369973156e-05,0,-1,ADK3m,False
868,-1.8777328886221412e-07,5.3737186369973156e-05,0,-1,ADK4m,False
869,3.696947870751588e-07,-5.683680736452701e-06,0,-1,C3STDH1,True
870,2.6792798715757904e-07,-8.068332809349488e-06,0,-1,C4STMO1,True
871,-9.096672669292594e-05,0.0026325919338310785,0,-1,CERS124er,False
872,-9.096672669272471e-05,0.0026325919338310785,0,-1,CERS126er,False
873,-9.096672669414718e-05,0.0026325919338022544,0,-1,CERS224er,False
874,-9.096672669442474e-05,0.0026325919338022544,0,-1,CERS226er,False
875,0.003528628177133057,0.002641487780979848,0,-1,G6PDH2er,True
876,-8.437853910225196e-05,0.0026850013713399026,0,-1,SBPP1er,False
877,-8.437853910411158e-05,0.0026850013713392157,0,-1,SBPP2er,False
878,-1.0927788290232554e-07,1.0815862047097724e-06,0,-1,BACCL,False
879,1.4781862345270014e-08,2.0548079746121606e-06,0,-1,PPBNGS,False
880,8.973672499523744e-10,2.0548080206100883e-06,0,-1,CPPPGO,False
